"locus_tag","gene_id"
"SAOUHSC_00784","3919074"
"SAOUHSC_00785","3919075"
"SAOUHSC_00786","3919076"
"SAOUHSC_00787","3919351"
"SAOUHSC_00788","3919352"
"SAOUHSC_00789","3919353"
"gene-SAOUHSC_T0005",NA
"SAOUHSC_00790","3919354"
"SAOUHSC_00792","3919355"
"SAOUHSC_00793","3919356"
"SAOUHSC_00794","3919357"
"SAOUHSC_00795","3919358"
"SAOUHSC_00796","3919359"
"SAOUHSC_00797","3919360"
"SAOUHSC_00798","3919361"
"SAOUHSC_00799","3919362"
"SAOUHSC_00800","3919363"
"SAOUHSC_00801","3919364"
"SAOUHSC_00802","3919365"
"SAOUHSC_00803","3919366"
"SAOUHSC_00804","3919367"
"SAOUHSC_00805","3919368"
"SAOUHSC_00806","3919369"
"SAOUHSC_00807","3919370"
"SAOUHSC_00808","3919371"
"SAOUHSC_00809","3919372"
"SAOUHSC_00810","3919373"
"SAOUHSC_00811","3919374"
"SAOUHSC_00812","3919375"
"SAOUHSC_00813","3919376"
"SAOUHSC_00814","3919377"
"SAOUHSC_00816","3919378"
"SAOUHSC_00817","3919379"
"SAOUHSC_00818","3919380"
"SAOUHSC_00819","3919381"
"SAOUHSC_00820","3919382"
"SAOUHSC_00821","3919383"
"SAOUHSC_00822","3919384"
"SAOUHSC_00823","3919385"
"SAOUHSC_00824","3919386"
"SAOUHSC_00825","3919387"
"SAOUHSC_00826","3919388"
"SAOUHSC_00827","3919389"
"SAOUHSC_00828","3918941"
"SAOUHSC_00830","3918942"
"SAOUHSC_00831","3918943"
"SAOUHSC_00832","3918944"
"SAOUHSC_00833","3918945"
"SAOUHSC_00834","3918946"
"SAOUHSC_00835","3918947"
"SAOUHSC_00836","3918948"
"SAOUHSC_00837","3918949"
"SAOUHSC_00838","3918950"
"SAOUHSC_00839","3918951"
"SAOUHSC_00840","3918952"
"SAOUHSC_00841","3918953"
"SAOUHSC_00842","3918954"
"SAOUHSC_00843","3918955"
"SAOUHSC_00844","3918956"
"SAOUHSC_00845","3918957"
"SAOUHSC_00846","3918958"
"SAOUHSC_00847","3918959"
"SAOUHSC_00848","3918979"
"SAOUHSC_00849","3918980"
"SAOUHSC_00850","3918981"
"SAOUHSC_00851","3918982"
"SAOUHSC_00852","3918983"
